academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,4.0,69.0,1.0,1.0,250.0,0,"Rua Vinte e Sete, 101 - Morada do Ouro II, Cuiabá - MT",0,2645827223,,0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-morada-do-ouro-ii-cuiaba-mt-69m2-id-2645827223/,1.0,200000.0,0
0,5.0,79.0,0,2.0,480.0,0,"Rua Tenente Eulálio Guerra, 1045 - Quilombo, Cuiabá - MT",0,2631224862,,0,0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-quilombo-cuiaba-mt-79m2-id-2631224862/,1.0,450000.0,0
1.0,,82.0,0,2.0,500.0,1.0,"Avenida Nigéria, 333 - Jardim Aclimação, Cuiabá - MT",1.0,2619333327,1900.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-aclimacao-cuiaba-mt-82m2-id-2619333327/,2.0,600000.0,0
0,,79.0,0,2.0,400.0,0,"Jardim das Américas, Cuiabá - MT",1.0,2626130488,,0,0,0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-jardim-das-americas-cuiaba-mt-79m2-id-2626130488/,2.0,900000.0,0
1.0,,76.0,0,2.0,637.0,0,"Santa Helena, Cuiabá - MT",1.0,2644355056,,0,1.0,0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-santa-helena-cuiaba-mt-76m2-id-2644355056/,2.0,460000.0,0
1.0,7.0,123.0,1.0,2.0,1200.0,1.0,"Rua Corsino do Amarante, 1367 - Duque de Caxias II, Cuiabá - MT",1.0,2639307254,2000.0,1.0,1.0,1.0,1.0,2.0,1.0,0,1.0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-duque-de-caxias-ii-cuiaba-mt-123m2-id-2639307254/,2.0,889999.0,1.0
0,,78.0,0,2.0,850.0,0,"Avenida Doutor Hélio Ribeiro, 691 - Residencial Paiaguas, Cuiabá - MT",1.0,2649770269,1700.0,0,1.0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-espaco-gourmet-residencial-paiaguas-cuiaba-mt-78m2-id-2649770269/,2.0,595000.0,0
0,,89.0,1.0,2.0,770.0,0,"Travessa K - Alvorada, Cuiabá - MT",0,2643975869,103.0,0,1.0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-alvorada-cuiaba-mt-89m2-id-2643975869/,2.0,315000.0,0
1.0,4.0,106.0,0,2.0,825.0,1.0,"Rua T, 867 - Jardim Aclimação, Cuiabá - MT",1.0,2643770255,2000.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-jardim-aclimacao-cuiaba-mt-106m2-id-2643770255/,3.0,780000.0,1.0
0,,42.0,0,1.0,310.0,1.0,"Avenida Mário Augusto Vieira - São Roque, Cuiabá - MT",0,2623589053,,0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-sao-roque-cuiaba-mt-42m2-id-2623589053/,2.0,288000.0,0
0,,132.0,0,4.0,,0,"Avenida Senegal - Jardim Aclimação, Cuiabá - MT",0,2655381662,,0,0,0,0,3.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-jardim-aclimacao-cuiaba-mt-132m2-id-2655381662/,,1229000.0,1.0
0,,42.0,0,1.0,395.0,0,"Coophema, Cuiabá - MT",0,2639464963,,1.0,0,0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coophema-cuiaba-mt-42m2-id-2639464963/,1.0,249000.0,0
1.0,10.0,78.0,0,2.0,400.0,1.0,"Avenida Doutor Hélio Ribeiro, 691 - Residencial Paiaguas, Cuiabá - MT",1.0,2650223481,1700.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-residencial-paiaguas-cuiaba-mt-78m2-id-2650223481/,2.0,530000.0,0
1.0,,88.0,0,2.0,595.0,1.0,"Rodovia Arquiteto Hélder Cândia, 1 - Ribeirão do Lipa, Cuiabá - MT",1.0,2612705755,,1.0,0,0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-ribeirao-do-lipa-cuiaba-mt-88m2-id-2612705755/,2.0,850000.0,0
0,1.0,39.0,0,1.0,360.0,0,"Avenida Itaparica, 1470 - Coophema, Cuiabá - MT",1.0,2648623400,,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-coophema-cuiaba-mt-39m2-id-2648623400/,1.0,190000.0,0
,,44.0,,1.0,,,"Coophema, Cuiabá - MT",,2614414402,,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-coophema-cuiaba-mt-44m2-id-2614414402/,1.0,210000.0,
,,81.0,,2.0,,,"Grande Terceiro, Cuiabá - MT",,2568905420,,,,,,3.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-grande-terceiro-cuiaba-mt-81m2-id-2568905420/,2.0,620000.0,
