"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
0,NA,77,1,2,280,0,0,2647883434,NA,1,1,1,0,3,1,0,0,1,320000,0,"Rua Abimael Soares da Rocha, 1223 - Campestre, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-campestre-teresina-pi-77m2-id-2647883434/",-5.069345361259,-42.756832519469
1,NA,80,0,3,NA,1,1,2640182453,1,1,1,1,0,2,1,0,0,2,580000,0,"Rua Desembargador César do Rêgo Monteiro, 2932 - Ininga, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-ininga-teresina-pi-80m2-id-2640182453/",-5.051891350523,-42.791715604237
1,NA,85,1,2,480,1,1,2647672202,750,1,1,1,1,3,1,0,0,2,560000,0,"Rua Governador Tibério Nunes, 1000 - Ilhotas, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-ilhotas-teresina-pi-85m2-id-2647672202/",-5.090280397097,-42.795973481393
0,10,72,0,2,600,0,1,2648798210,280,1,0,0,0,3,1,0,0,1,345000,0,"Rua Coronel Belisário da Cunha, 182 - São João, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-sao-joao-teresina-pi-72m2-id-2648798210/",-5.082926901562,-42.776416643884
0,NA,62,0,1,NA,1,0,2559207259,NA,1,0,0,0,3,0,0,0,1,250000,0,"Rua Vitorino Orthiges Fernandes, 400 - Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-uruguai-teresina-pi-62m2-id-2559207259/",-5.069925101593,-42.749290143105
0,NA,58,0,1,NA,0,0,2559322088,NA,1,0,1,0,2,1,0,0,1,169900,0,"Rua Poncion Caldas - Parque Ideal, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-parque-ideal-teresina-pi-58m2-id-2559322088/",-5.095756819755,-42.748398964268
1,10,48,0,2,1,1,1,2646860318,1,1,1,1,1,2,1,0,0,1,259900,0,"Rua Canadá, 1415 - Cidade Nova, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-cidade-nova-teresina-pi-48m2-id-2646860318/",-5.106331258489,-42.786413865935
0,NA,50,0,1,280,0,1,2645606577,700,1,1,0,1,2,1,0,0,1,240000,0,"Rua Oito, 600 - Uruguai, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-uruguai-teresina-pi-50m2-id-2645606577/",-5.055948246144,-42.730228454001
0,NA,52,0,2,450,0,1,2636681916,1,1,1,0,0,2,1,0,0,1,172000,0,"Rua Belarmino Braga, 7752 - São Sebastião, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-sebastiao-teresina-pi-52m2-id-2636681916/",-5.103264390402,-42.733562177792
0,2,56,1,2,NA,0,0,2641584881,NA,0,0,0,0,3,0,0,0,1,190000,0,"Itararé, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-itarare-teresina-pi-56m2-id-2641584881/",-5.10705,-42.75816
0,NA,52,0,2,450,0,1,2634658003,1,1,1,0,0,2,1,0,0,1,172000,0,"Rua Belarmino Braga, 7755 - São Sebastião, Teresina - PI","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-sebastiao-teresina-pi-52m2-id-2634658003/",-5.102969593561,-42.732920210345
