"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
0,NA,212,0,1,NA,0,"Rua Dermario Bonates, 273 - Cambará, Boa Vista - RR",1,2636935756,NA,1,0,0,0,1,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-mobiliado-cambara-boa-vista-rr-212m2-id-2636935756/",4,650000,0,2.81307,-60.72789
NA,NA,180,NA,3,NA,NA,"Rua João Padilha, 986 - Caimbé, Boa Vista - RR",NA,2635585988,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-caimbe-boa-vista-rr-180m2-id-2635585988/",4,5e+05,NA,2.827850275171,-60.715555164168
0,NA,104,1,2,NA,0,"Rua Doutor Zamenhof, 1179 - Caranã, Boa Vista - RR",0,2648805142,390,0,0,0,0,2,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-carana-boa-vista-rr-104m2-id-2648805142/",3,380000,0,2.842860008982,-60.724690016697
NA,NA,202,NA,1,NA,NA,"Rua Risos-do-Prado - Pricumã, Boa Vista - RR",NA,2633479284,NA,NA,NA,NA,NA,3,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-pricuma-boa-vista-rr-202m2-id-2633479284/",5,460000,NA,2.812391106835,-60.699503341513
NA,NA,54,NA,2,NA,NA,"Rua Jacy de Souza Cruz - Santa Luzia, Boa Vista - RR",NA,2645334074,NA,NA,NA,NA,NA,2,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-santa-luzia-boa-vista-rr-54m2-id-2645334074/",NA,220000,NA,2.80811,-60.75312
NA,NA,600,NA,NA,NA,NA,"Rua Alzimiro Gomes da Silva, SN - Jardim Floresta, Boa Vista - RR",NA,2649824666,500,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-floresta-boa-vista-rr-600m2-id-2649824666/",NA,250000,NA,2.83132500147,-60.713194990863
NA,NA,353,NA,4,NA,NA,"Rua Dom Apparecido José Dias - Cidade Satelite, Boa Vista - RR",NA,2645318307,NA,NA,NA,NA,NA,4,NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-cidade-satelite-boa-vista-rr-353m2-id-2645318307/",NA,795000,NA,2.848314993479,-60.751890004963
0,NA,160,0,3,NA,0,"Paraviana, Boa Vista - RR",0,2652627314,NA,1,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-paraviana-boa-vista-rr-160m2-id-2652627314/",NA,1600000,0,2.85917,-60.66054
1,NA,340,0,3,650,0,"Avenida Universo, 188 - Cidade Satelite, Boa Vista - RR",1,2646510166,1260,1,0,0,0,3,0,0,0,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-mobiliado-cidade-satelite-boa-vista-rr-340m2-id-2646510166/",3,380000,0,2.85067382922,-60.739909102495
0,NA,190,0,3,NA,0,"Asa Branca, Boa Vista - RR",1,2652631289,NA,0,0,0,0,3,0,0,0,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-asa-branca-boa-vista-rr-190m2-id-2652631289/",2,850000,0,2.81426,-60.71629
