academia,andar,area,area_servico,banheiro,condominio,elevador,endereco,espaco_gourmet,foto_imovel,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,url,vaga,valor,varanda_gourmet
0,9.0,70.0,0,2.0,550.0,1.0,"Rua Amália Bernardino de Sousa, 454 - Boa Viagem, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/ca7e8a7caaa3fad2094bceb40d4e358c/apartamento-com-3-quartos-a-venda-70m-no-boa-viagem-recife.jpg,2663211564,307.0,1.0,1.0,0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-70m2-id-2663211564/,1.0,414000.0,0
0,,62.0,0,3.0,950.0,0,"Rua Ana Camelo da Silva, 1 - Boa Viagem, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/612e63ab3d663964164e71f2e7d7c9dd/apartamento-com-3-quartos-a-venda-62m-no-boa-viagem-recife.jpg,2661501479,2042.0,0,0,1.0,0,3.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-boa-viagem-recife-pe-62m2-id-2661501479/,2.0,580000.0,0
1.0,,87.0,1.0,3.0,775.0,1.0,"Rua Hermógenes de Morais, 100 - Madalena, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/19525f01fa16617fc801626ede1b52d0/apartamento-com-3-quartos-a-venda-87m-no-madalena-recife.jpg,2646680663,3315.0,1.0,1.0,1.0,0,3.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-madalena-recife-pe-87m2-id-2646680663/,2.0,735000.0,0
1.0,25.0,42.0,0,1.0,300.0,1.0,"Rua José de Holanda, 854 - Torre, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/654648fced409ccfdc06c1c648047dc9/apartamento-com-2-quartos-a-venda-42m-no-torre-recife.jpg,2657877622,144.0,1.0,1.0,1.0,0,2.0,0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torre-recife-pe-42m2-id-2657877622/,1.0,340000.0,0
,5.0,88.0,,1.0,150.0,,"Rua Barão de Água Branca, 396 - Imbiribeira, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/96506bb459e7ebd1c9c16bbc193c3fb6/apartamento-com-2-quartos-a-venda-88m-no-imbiribeira-recife.jpg,2607753173,720.0,,,,,2.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-imbiribeira-recife-pe-88m2-id-2607753173/,1.0,318888.0,
1.0,11.0,43.0,0,1.0,1.0,1.0,"Rua Alameda das Hortências, 3 - Imbiribeira, Recife - PE",1.0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/64d3bd4302b7ef5d1b9386df02115440/apartamento-com-2-quartos-a-venda-43m-no-imbiribeira-recife.jpg,2650257450,1.0,1.0,1.0,1.0,0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-imbiribeira-recife-pe-43m2-id-2650257450/,1.0,312800.0,0
1.0,,55.0,0,2.0,450.0,0,"Rua Cândido Lacerda, 221 - Torreão, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/83c25d8af1b1a9c9f6834ef95729db27/apartamento-com-2-quartos-a-venda-55m-no-torreao-recife.jpg,2576041281,127.0,1.0,1.0,1.0,0,2.0,1.0,1.0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-torreao-recife-pe-55m2-id-2576041281/,1.0,417504.0,0
,6.0,25.0,,1.0,1.0,,"Rua do Giriquiti, 80 - Derby, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3cd677b1f227d0215bb711721c4f953d/apartamento-com-1-quarto-a-venda-25m-no-derby-recife.jpg,2647163288,1.0,,,,,1.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-derby-recife-pe-25m2-id-2647163288/,1.0,289999.0,
,6.0,137.0,,5.0,900.0,,"Rua Aviador Severiano Lins, 140 - Boa Viagem, Recife - PE",,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/403b34e30d42dd1aa699f231b91c2e9b/apartamento-com-4-quartos-a-venda-137m-no-boa-viagem-recife.jpg,2664917324,4000.0,,,,,4.0,,,,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-boa-viagem-recife-pe-137m2-id-2664917324/,2.0,1320000.0,
1.0,,52.0,0,1.0,60.0,1.0,"Estrada de Belém, 65 - Campo Grande, Recife - PE",0,https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cc646cf113dbef73e4151d5ba73e2bd8/apartamento-com-2-quartos-a-venda-52m-no-campo-grande-recife.jpg,2660855286,60.0,1.0,0,1.0,1.0,2.0,1.0,0,0,apartamentos,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-recife-pe-52m2-id-2660855286/,1.0,335000.0,0
