"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
NA,NA,70,NA,2,NA,NA,NA,2641762728,NA,NA,NA,NA,NA,2,NA,NA,NA,1,175000,NA,"Calafate, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-calafate-rio-branco-ac-70m2-id-2641762728/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/003b9647c25a78e0da5ee4432abed2eb/casa-com-2-quartos-a-venda-70m-no-calafate-rio-branco.jpg",-9.97769,-67.88752
0,NA,450,1,3,NA,0,0,2646777363,NA,0,0,0,0,4,0,0,0,3,8e+05,0,"Conjunto Paulo Cesar de Oliveira, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-conjunto-paulo-cesar-de-oliveira-rio-branco-ac-450m2-id-2646777363/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/407795363ef8dea97400aaac4ec1a951/casa-com-4-quartos-a-venda-450m-no-conjunto-paulo-cesar-de-oliveira-rio-branco.jpg",-9.97388,-67.80756
NA,NA,180,NA,1,NA,NA,NA,2665322927,NA,NA,NA,NA,NA,3,NA,NA,NA,2,650000,NA,"Travessa Macauã, 80 - Conjunto Mariana, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-conjunto-mariana-rio-branco-ac-180m2-id-2665322927/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/3793cce35eea84a0d544c93d35c538aa/casa-com-3-quartos-a-venda-180m-no-conjunto-mariana-rio-branco.jpg",-9.960812474728,-67.845274176571
NA,NA,126,NA,2,NA,NA,NA,2654140896,NA,NA,NA,NA,NA,2,NA,NA,NA,1,160000,NA,"Conjunto Rui Lino, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-conjunto-rui-lino-rio-branco-ac-126m2-id-2654140896/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/721b1092130b6ad66a0c8f268fe45eb6/casa-com-2-quartos-a-venda-126m-no-conjunto-rui-lino-rio-branco.jpg",-9.94951,-67.85387
NA,NA,225,NA,2,NA,NA,NA,2652947868,NA,NA,NA,NA,NA,2,NA,NA,NA,2,365000,NA,"Sao Francisco, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-ar-condicionado-sao-francisco-rio-branco-ac-225m2-id-2652947868/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/04618de5a42215af3e19e4bf0bf43954/casa-com-2-quartos-a-venda-225m-no-sao-francisco-rio-branco.jpg",-9.95828,-67.80029
0,NA,175,1,2,NA,0,0,2654402254,NA,0,0,0,0,3,0,0,0,7,540000,0,"Jardim America, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-jardim-america-rio-branco-ac-175m2-id-2654402254/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/23e7dd9d267767c0c481d8c2f2d70b21/casa-com-3-quartos-a-venda-175m-no-jardim-america-rio-branco.jpg",-9.95166,-67.826
0,NA,103,0,3,NA,0,1,2655116169,NA,1,1,1,0,3,0,0,0,2,590000,1,"Travessa da Afelétro, 12 - Boa Esperanca, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-boa-esperanca-rio-branco-ac-103m2-id-2655116169/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/53c0a0a2e2f730c69cc4c06a4851beab/casa-de-condominio-com-3-quartos-a-venda-103m-no-boa-esperanca-rio-branco.jpg",-9.954480537208,-67.82379132897
0,NA,120,0,2,NA,0,0,2643145589,NA,1,0,0,0,4,0,0,0,2,475000,0,"Sao Francisco, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-sao-francisco-rio-branco-ac-120m2-id-2643145589/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/41fb5cf60b1805bd95c89abdaff295a0/casa-com-4-quartos-a-venda-120m-no-sao-francisco-rio-branco.jpg",-9.95828,-67.80029
0,NA,114,0,3,NA,0,1,2641603954,NA,1,1,1,1,4,1,0,0,2,580000,0,"Avenida Recanto Verde, 310 - Conjunto Mariana, Rio Branco - AC","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-conjunto-mariana-rio-branco-ac-114m2-id-2641603954/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/403d8e6c1119ba48ad434cf5a0ab39fa/casa-de-condominio-com-4-quartos-a-venda-114m-no-conjunto-mariana-rio-branco.jpg",-9.962130011973,-67.84608499978
NA,NA,276,NA,1,NA,NA,NA,2665322932,NA,NA,NA,NA,NA,3,NA,NA,NA,2,850000,NA,"Rua do Eucalipto, 27 - Conjunto Bela Vista, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-conjunto-bela-vista-rio-branco-ac-276m2-id-2665322932/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c08212efd26320e006cec3d4fcda66be/casa-com-3-quartos-a-venda-276m-no-conjunto-bela-vista-rio-branco.jpg",-9.976499988687,-67.828390005896
0,NA,142,0,5,NA,0,1,2612091776,NA,1,0,0,0,3,0,0,0,3,550000,0,"Rua Halley, 211 - Morada do Sol, Rio Branco - AC","sobrados","https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-mobiliado-morada-do-sol-rio-branco-ac-142m2-id-2612091776/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/56d9944d80cf6e31142e1ac7487f9632/sobrado-com-3-quartos-a-venda-142m-no-morada-do-sol-rio-branco.jpg",-9.962217573715,-67.790998567154
NA,NA,200,NA,2,NA,NA,NA,2635915862,NA,NA,NA,NA,NA,2,NA,NA,NA,4,315000,NA,"Conjunto Bela Vista, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-escritorio-conjunto-bela-vista-rio-branco-ac-200m2-id-2635915862/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bc446f8cbeb0e3d1de9925d97a406e9b/casa-com-2-quartos-a-venda-200m-no-conjunto-bela-vista-rio-branco.jpg",-9.97202,-67.83173
0,NA,360,0,2,NA,0,0,2652943964,NA,1,0,0,0,3,0,0,0,3,475000,0,"Conjunto Manoel Juliao, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-conjunto-manoel-juliao-rio-branco-ac-360m2-id-2652943964/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c5874f758518ba4dc8cd8dc09d39dfae/casa-com-3-quartos-a-venda-360m-no-conjunto-manoel-juliao-rio-branco.jpg",-9.95325,-67.83383
NA,NA,150,NA,2,NA,NA,NA,2654145364,NA,NA,NA,NA,NA,3,NA,NA,NA,2,230000,NA,"Loteamento Santa Helena, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-loteamento-santa-helena-rio-branco-ac-150m2-id-2654145364/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/27478a41edcd38df9d8e4572f372d344/casa-com-3-quartos-a-venda-150m-no-loteamento-santa-helena-rio-branco.jpg",-10.01603,-67.79819
NA,NA,92,NA,1,NA,NA,NA,2670015609,944,NA,NA,NA,NA,3,NA,NA,NA,NA,345000,NA,"Vilage Wilde Maciel, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vilage-wilde-maciel-rio-branco-ac-92m2-id-2670015609/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cdbbe710df48312001230cc5ab407b53/casa-com-3-quartos-a-venda-92m-no-vilage-wilde-maciel-rio-branco.jpg",-9.97388,-67.80756
NA,NA,148,NA,2,NA,NA,NA,2655499158,NA,NA,NA,NA,NA,2,NA,NA,NA,2,235000,NA,"Travessa Raul Pompéia, 54 - Conjunto Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-conjunto-esperanca-rio-branco-ac-148m2-id-2655499158/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/bdc8814d0a546d79db6a0f12644f6dfd/casa-com-2-quartos-a-venda-148m-no-conjunto-esperanca-rio-branco.jpg",-9.972470011549,-67.837150016724
NA,NA,204,NA,2,NA,NA,NA,2654402253,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,370000,NA,"LBA Vila Betel ll, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-lba-vila-betel-ll-rio-branco-ac-204m2-id-2654402253/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6acbbcb8c5099aee73c64baac710d8ee/casa-com-2-quartos-a-venda-204m-no-lba-vila-betel-ll-rio-branco.jpg",-9.97822,-67.84194
NA,NA,124,NA,3,NA,NA,NA,2670955010,NA,NA,NA,NA,NA,2,NA,NA,NA,4,330000,NA,"Rua Dourado, 357 - Conquista, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-conquista-rio-branco-ac-124m2-id-2670955010/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/5a602e6af2baa077d98e2f3490b26dbc/casa-com-2-quartos-a-venda-124m-no-conquista-rio-branco.jpg",-9.949169997102,-67.834530001429
NA,NA,270,NA,1,NA,NA,NA,2654396883,NA,NA,NA,NA,NA,2,NA,NA,NA,6,450000,NA,"Nova Esperanca, Rio Branco - AC","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-nova-esperanca-rio-branco-ac-270m2-id-2654396883/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b73c96f9b5a827ac9fd7620aec519357/casa-com-2-quartos-a-venda-270m-no-nova-esperanca-rio-branco.jpg",-9.97461,-67.84142
