academia,andar,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,id,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,vaga,valor,varanda_gourmet,url,tipo,endereco,latitude,longitude
0.0,,500.0,1.0,2.0,,0.0,0.0,2627149742,200.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1100000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-itaocaia-valley-marica-rj-500m2-id-2627149742/,casas_comerciais,"Rua Uruçuí, 100 - Itaocaia Valley, Maricá - RJ",-22.921338834645,-42.966020352582
0.0,,128.0,0.0,2.0,,0.0,0.0,2605429992,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,540000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-inoa-marica-rj-128m2-id-2605429992/,casas_de_condominio,"Rua Bosque Fundo, 7 - Inoã, Maricá - RJ",-22.909950009971,-42.920819987972
0.0,,199.0,1.0,2.0,250.0,0.0,0.0,2647581424,80.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,880000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-centro-marica-rj-199m2-id-2647581424/,casas_de_condominio,"Rua Clímaco Pereira, 100 - Centro, Maricá - RJ",-22.92347678528,-42.816601828327
1.0,,80.0,1.0,2.0,270.0,0.0,1.0,2587600141,450.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,350000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-piscina-pindobas-marica-rj-80m2-id-2587600141/,casas_de_condominio,"Estrada Henfil, 2206 - Pindobas, Maricá - RJ",-22.89473,-42.83096
1.0,,500.0,0.0,,320.0,0.0,1.0,2605348296,100.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,110000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-condado-de-marica-marica-rj-500m2-id-2605348296/,terrenos_lotes_e_condominios,"Rodovia Vereador Oldemar Guedes Figueiredo, SN - Condado de Maricá, Maricá - RJ",-22.901282246448,-42.800378448923
0.0,,90.0,0.0,3.0,1.0,0.0,1.0,2638682458,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,379580.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-sao-jose-de-imbassai-marica-rj-90m2-id-2638682458/,casas,"Estrada Joaquim Afonso Viana, 100 - São José de Imbassai, Maricá - RJ",-22.929260235893,-42.874627796217
0.0,,144.0,1.0,2.0,,0.0,0.0,2629349960,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,730000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-praia-de-itaipuacu-itaipuacu-marica-rj-144m2-id-2629349960/,casas,"Rua Santa Beatriz, 12 - Praia de Itaipuacu Itaipuacu, Maricá - RJ",-22.965525793556,-42.990484791154
0.0,,200.0,1.0,3.0,335.0,0.0,0.0,2643784253,76.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,450000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-itapeba-marica-rj-200m2-id-2643784253/,casas_de_condominio,"Rua das Azaléias, 81 - Itapeba, Maricá - RJ",-22.914229039552,-42.844685031079
,,401.0,,1.0,,,,2643782334,,,,,,,,,,6.0,2500000.0,,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-mumbuca-marica-rj-401m2-id-2643782334/,galpoes_depositos_e_armazens,"Rua Antônio Eduardo, 5 - Mumbuca, Maricá - RJ",-22.908570013432,-42.822830007795
0.0,,112.0,1.0,2.0,,0.0,1.0,2590036880,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,555000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-atlantico-leste-itaipuacu-marica-rj-112m2-id-2590036880/,casas,"Rua Irene Ribeiro, 1 - Jardim Atlantico Leste Itaipuacu, Maricá - RJ",-22.96694,-42.92304
0.0,,100.0,1.0,2.0,,0.0,0.0,2646653761,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,450000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-guaratiba-marica-rj-100m2-id-2646653761/,casas,"Rua Arnaldo Isídio das Neves, 2 - Guaratiba, Maricá - RJ",-22.959467281837,-42.816457802185
1.0,6.0,131.0,1.0,1.0,1.0,1.0,1.0,2617900753,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,630000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-2-quartos-com-piscina-centro-marica-rj-131m2-id-2617900753/,coberturas,"Rua Ary Spíndola, 65 - Centro, Maricá - RJ",-22.918070020582,-42.810680020047
0.0,,120.0,0.0,3.0,1.0,0.0,1.0,2647320138,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,589220.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-atlantico-oeste-marica-rj-120m2-id-2647320138/,casas,"Rua dos Colibris, 100 - Jardim Atlântico Oeste, Maricá - RJ",-22.952335849662,-42.963170668508
,,420.0,,,,,,2551125773,,,,,,,,,,,110000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-inoa-marica-rj-420m2-id-2551125773/,terrenos_lotes_e_condominios,"Inoã, Maricá - RJ",-22.91365,-42.92992
0.0,1.0,70.0,1.0,2.0,50.0,0.0,0.0,2648737960,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,330000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-barroco-marica-rj-70m2-id-2648737960/,apartamentos,"Rua Silvana da Costa, 9 - Barroco, Maricá - RJ",-22.961290005111,-42.984539970283
0.0,1.0,57.0,1.0,1.0,395.0,0.0,0.0,2643784375,255.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,200000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-mumbuca-marica-rj-57m2-id-2643784375/,apartamentos,"Rua Antônio Eduardo, 229 - Mumbuca, Maricá - RJ",-22.909273210275,-42.823352309995
0.0,,100.0,1.0,1.0,,0.0,0.0,2624503347,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,550000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-praia-de-itaipuacu-itaipuacu-marica-rj-100m2-id-2624503347/,casas,"Rua Olavo do Valle Peixoto, 3 - Praia de Itaipuacu Itaipuacu, Maricá - RJ",-22.96667,-43.01667
,,77.0,,1.0,,,,2643782849,,,,,,2.0,,,,4.0,330000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-morada-das-aguias-itaipuacu-marica-rj-77m2-id-2643782849/,casas,"Rua Nove, 9 - Morada das Aguias Itaipuacu, Maricá - RJ",-22.948837408553,-42.989594461224
0.0,,120.0,1.0,2.0,,0.0,0.0,2643783795,117.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,540000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-atlantico-oeste-marica-rj-120m2-id-2643783795/,casas,"Rua Van Lerbergue, 4 - Jardim Atlântico Oeste, Maricá - RJ",-22.96460999314,-42.974589980661
,,280.0,,3.0,,,,2649017185,,,,,,3.0,,,,3.0,395000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ar-condicionado-itaocaia-valley-marica-rj-280m2-id-2649017185/,casas,"Itaocaia Valley, Maricá - RJ",-22.92855,-42.96723
,,394.0,,,430.0,,,2643782846,1250.0,,,,,,,,,,215000.0,,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ubatiba-marica-rj-394m2-id-2643782846/,terrenos_lotes_e_condominios,"Rodovia Vereador Oldemar Guedes Figueiredo, 2560 - Ubatiba, Maricá - RJ",-22.901282246448,-42.800378448923
1.0,,300.0,0.0,4.0,,0.0,1.0,2648532469,,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2600000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-sao-jose-de-imbassai-marica-rj-300m2-id-2648532469/,casas_de_condominio,"Rodovia Ernani do Amaral Peixoto, 44 - São José de Imbassai, Maricá - RJ",-22.933356667467,-42.893284330593
,,109.0,,5.0,400.0,,,2573501103,110.0,,,,,3.0,,,,2.0,455000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-caxito-marica-rj-109m2-id-2573501103/,casas_de_condominio,"Estrada Melchior - Caxito, Maricá - RJ",-22.886825999578,-42.819432640139
0.0,,62.0,1.0,2.0,,0.0,0.0,2643782211,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,230000.0,0.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-ar-condicionado-sao-jose-de-imbassai-marica-rj-62m2-id-2643782211/,casas_de_condominio,"Rua Dez, 23 - São José de Imbassai, Maricá - RJ",-22.930056116256,-42.893812689232
0.0,,220.0,0.0,3.0,465.0,0.0,0.0,2642939037,1200.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,560000.0,1.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-itapeba-marica-rj-220m2-id-2642939037/,casas_de_condominio,"Rua Vereador Aloísio Rangel de Freitas, 08 - Itapeba, Maricá - RJ",-22.912250004202,-42.840889991653
,,80.0,,3.0,,,,2643783492,100.0,,,,,2.0,,,,1.0,350000.0,,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-mumbuca-marica-rj-80m2-id-2643783492/,casas,"Rua Antônio dos Santos Bittencourt, 4 - Mumbuca, Maricá - RJ",-22.911266262404,-42.82566306455
