"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","foto_imovel","latitude","longitude"
0,NA,145,0,2,NA,0,0,2669632399,NA,1,0,0,0,3,0,0,0,3,3000,0,"Rua Praia da Gameleira, 8925 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-piscina-ponta-negra-natal-rn-145m2-id-2669632399/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/e3821d03081179d815dd98a212bf5b9b/casa-com-3-quartos-para-alugar-145m-no-ponta-negra-natal.jpg",-5.872200013079,-35.185030035295
0,NA,120,1,2,NA,0,0,2633022139,NA,0,0,0,0,3,0,0,0,4,2000,0,"Neópolis, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-neopolis-natal-rn-120m2-id-2633022139/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/5ccf01ba9edbf3f3947e59e354f566c3/casa-com-3-quartos-para-alugar-120m-no-neopolis-natal.jpg",-5.86759,-35.202
NA,NA,125,NA,2,NA,NA,NA,2661155788,NA,NA,NA,NA,NA,2,NA,NA,NA,1,300,NA,"Rua Doutor Antônio Pereira de Macedo, 246 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-mobiliado-ponta-negra-natal-rn-125m2-id-2661155788/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/c0524965fec496d86886d1822e2d8e0c/casa-com-2-quartos-para-alugar-125m-no-ponta-negra-natal.jpg",-5.886528684508,-35.174915494125
0,NA,140,1,3,NA,0,0,2667690597,NA,0,0,0,0,3,0,0,0,2,2000,0,"Rua Francisco Aires de Carvalho - Neópolis, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-neopolis-natal-rn-140m2-id-2667690597/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/1df8e631bf8caf87ceb0513e30247633/casa-com-3-quartos-para-alugar-140m-no-neopolis-natal.jpg",-5.868278223492,-35.212427641895
NA,NA,229,NA,4,NA,NA,NA,2663383753,209,NA,NA,NA,NA,3,NA,NA,NA,2,2600,NA,"Rua do Carbono, 489 - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-armario-de-cozinha-lagoa-nova-natal-rn-229m2-id-2663383753/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/7f1a7b2d0240a406ee5edf369727f0ad/casa-com-3-quartos-para-alugar-229m-no-lagoa-nova-natal.jpg",-5.828079979787,-35.208110024784
0,NA,110,1,1,NA,0,0,2655979863,789,0,0,0,0,3,0,0,0,2,1600,0,"Rua Moisés Sesyon - Candelária, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-cozinha-candelaria-natal-rn-110m2-id-2655979863/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/d18ec7b8041abd7d5aa409b74b934782/casa-com-3-quartos-para-alugar-110m-no-candelaria-natal.jpg",-5.842886017342,-35.216802363381
0,NA,216,1,2,NA,0,0,2568618407,NA,0,0,0,0,3,0,0,0,5,450,0,"Rua Cabo do Bacopari, 2121 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-ponta-negra-natal-rn-216m2-id-2568618407/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/281017b9cda0ce8c87b1fb66d67e9dd9/casa-com-3-quartos-para-alugar-216m-no-ponta-negra-natal.jpg",-5.870510011851,-35.184310029812
NA,NA,256,NA,2,NA,NA,NA,2647549516,NA,NA,NA,NA,NA,3,NA,NA,NA,3,2600,NA,"Rua José Freire de Souza, 22 - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-lagoa-nova-natal-rn-256m2-id-2647549516/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/b3c18ff7fb7cb28ee90db2bc2cf206a3/casa-com-3-quartos-para-alugar-256m-no-lagoa-nova-natal.jpg",-5.825800018304,-35.207920007039
NA,NA,150,NA,3,NA,NA,NA,2612554916,400,NA,NA,NA,NA,3,NA,NA,NA,1,2200,NA,"Rua São Matias, 45 - Ponta Negra, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-ponta-negra-natal-rn-150m2-id-2612554916/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/cbccf14c50e04bb196f9d6a9a31fdbef/casa-com-3-quartos-para-alugar-150m-no-ponta-negra-natal.jpg",-5.886740016698,-35.174240011337
NA,NA,180,NA,4,NA,NA,NA,2652352922,160,NA,NA,NA,NA,3,NA,NA,NA,2,2300,NA,"Rua Francisco Aires de Carvalho, 86 - Neópolis, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-neopolis-natal-rn-180m2-id-2652352922/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/0ee4e446983dd738fcdd2f93a16fab0f/casa-com-3-quartos-para-alugar-180m-no-neopolis-natal.jpg",-5.868180010406,-35.213189961022
0,NA,400,0,6,NA,0,0,2589667100,NA,1,0,0,0,5,0,0,0,6,4390,1,"Avenida Lima e Silva, 1453 - Bom Pastor, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-com-piscina-bom-pastor-natal-rn-400m2-id-2589667100/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/f3cf2066d2e3fc83eaed22c4521ed518/casa-com-5-quartos-para-alugar-400m-no-bom-pastor-natal.jpg",-5.814773280344,-35.238343011978
0,NA,70,1,1,NA,0,0,2669415399,NA,0,0,0,0,2,0,0,0,1,1200,0,"Avenida Amintas Barros - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-cozinha-lagoa-nova-natal-rn-70m2-id-2669415399/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/47ee1222c8110e3330c40832ce87249e/casa-com-2-quartos-para-alugar-70m-no-lagoa-nova-natal.jpg",-5.816951310417,-35.218642021451
0,NA,250,1,4,NA,0,1,2656385565,NA,1,0,0,0,3,0,0,0,2,5800,1,"Rua Francisco Pignataro, 1904 - Capim Macio, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-mobiliado-capim-macio-natal-rn-250m2-id-2656385565/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/882028ef0ba6c06139c407b0b0b55bf8/casa-com-3-quartos-para-alugar-250m-no-capim-macio-natal.jpg",-5.859540654988,-35.202125216026
0,NA,200,0,2,NA,0,0,2662214153,222,0,0,0,0,5,0,0,0,2,3000,1,"Alecrim, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-5-quartos-com-cozinha-alecrim-natal-rn-200m2-id-2662214153/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/6ec925cffe1b77609797dad5df111bad/casa-com-5-quartos-para-alugar-200m-no-alecrim-natal.jpg",-5.79111,-35.20931
0,NA,150,0,3,NA,0,1,2664713109,NA,0,0,0,0,3,0,0,0,2,2800,0,"Rua Marize Bastier, 36 - Lagoa Nova, Natal - RN","casas","https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-lagoa-nova-natal-rn-150m2-id-2664713109/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/fe453730495a114efa832758c6db4325/casa-com-3-quartos-para-alugar-150m-no-lagoa-nova-natal.jpg",-5.822839991107,-35.207710040364
NA,NA,207,NA,5,NA,NA,NA,2646861723,1800,NA,NA,NA,NA,3,NA,NA,NA,3,3500,NA,"Rua Professora Dirce Coutinho, 1978 - Capim Macio, Natal - RN","sobrados_para_alugar","https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-mobiliado-capim-macio-natal-rn-207m2-id-2646861723/","https://resizedimgs.zapimoveis.com.br/fit-in/400x180/named.images.sp/2be7f99966c2b6289274e29f38c3d0dc/sobrado-com-3-quartos-para-alugar-207m-no-capim-macio-natal.jpg",-5.862053486794,-35.191140773721
