"academia","andar","area","area_servico","banheiro","condominio","elevador","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","sauna","spa","vaga","valor","varanda_gourmet","endereco","tipo","url","latitude","longitude"
NA,NA,100,NA,2,NA,NA,NA,2632715701,NA,NA,NA,NA,NA,2,NA,NA,3,350000,NA,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-jardim-aracagy-sao-jose-de-ribamar-ma-100m2-id-2632715701/",-2.47975864141,-44.211260753471
NA,NA,55,NA,1,200,NA,NA,2626295170,300,NA,NA,NA,NA,2,NA,NA,2,65000,NA,"Vila Picarreira, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-vila-picarreira-sao-jose-de-ribamar-ma-55m2-id-2626295170/",-2.548115424891,-44.106867561911
0,NA,250,0,3,NA,0,1,2646445973,NA,1,0,0,0,3,0,0,5,720000,0,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-250m2-id-2646445973/",-2.47975864141,-44.211260753471
NA,1,61,NA,2,NA,NA,NA,2565813201,NA,NA,NA,NA,NA,2,NA,NA,1,190000,NA,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-sao-jose-de-ribamar-ma-61m2-id-2565813201/",-2.55002,-44.06755
NA,NA,40,NA,1,1,NA,NA,2643511430,11,NA,NA,NA,NA,2,NA,NA,1,172418,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2643511430/",-2.55002,-44.06755
0,1,57,0,2,NA,0,0,2621585439,NA,1,0,1,1,2,0,0,1,210000,0,"Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-57m2-id-2621585439/",-2.47975864141,-44.211260753471
NA,NA,57,NA,2,2,NA,NA,2646687470,1,NA,NA,NA,NA,2,NA,NA,1,236956,NA,"Avenida Norte, 10 - Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-57m2-id-2646687470/",-2.478159938561,-44.19319379507
NA,NA,57,NA,5,1,NA,NA,2646687275,1,NA,NA,NA,NA,2,NA,NA,1,236956,NA,"Avenida Norte, 13 - Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-aracagy-sao-jose-de-ribamar-ma-57m2-id-2646687275/",-2.480667515989,-44.19288835016
0,NA,59,0,2,NA,0,0,2642999783,NA,1,0,0,1,2,0,0,1,215000,0,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-jose-de-ribamar-ma-59m2-id-2642999783/",-2.55002,-44.06755
NA,NA,100,NA,3,NA,NA,NA,2646311965,NA,NA,NA,NA,NA,3,NA,NA,2,340000,NA,"Avenida Norte, 150 - Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aracagy-sao-jose-de-ribamar-ma-100m2-id-2646311965/",-2.480541809202,-44.193015542616
NA,1,300,NA,2,NA,NA,NA,2642060114,NA,NA,NA,NA,NA,3,NA,NA,4,240000,NA,"Rua 4, 23 - Vila Santa Teresinha, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-vila-santa-teresinha-sao-jose-de-ribamar-ma-300m2-id-2642060114/",-2.557203889339,-44.199313035536
1,NA,47,0,1,270,0,1,2646691058,NA,0,1,1,1,2,0,0,1,42000,0,"Novo Cohatrac, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-academia-novo-cohatrac-sao-jose-de-ribamar-ma-47m2-id-2646691058/",-2.54014,-44.2055
0,NA,101,1,2,NA,0,0,2645503358,NA,0,0,0,0,2,0,0,2,410000,0,"Novo Cohatrac, São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-area-de-servico-novo-cohatrac-sao-jose-de-ribamar-ma-101m2-id-2645503358/",-2.54014,-44.2055
0,NA,180,1,1,NA,0,0,2558428227,NA,0,0,0,0,2,0,0,1,140000,0,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-sao-jose-de-ribamar-ma-180m2-id-2558428227/",-2.55002,-44.06755
0,NA,145,0,4,NA,0,1,2646285857,NA,1,0,0,0,3,0,0,6,650000,0,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-145m2-id-2646285857/",-2.47975864141,-44.211260753471
1,NA,58,0,2,1,0,1,2646370758,1,1,1,0,1,2,0,0,2,130000,1,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-sao-jose-de-ribamar-ma-58m2-id-2646370758/",-2.55002,-44.06755
NA,1,229,NA,2,NA,NA,NA,2646110025,NA,NA,NA,NA,NA,2,NA,NA,5,250000,NA,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-sao-jose-de-ribamar-ma-229m2-id-2646110025/",-2.55002,-44.06755
0,NA,100,0,2,300,0,0,2633378532,300,1,0,0,1,3,0,0,2,340000,0,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-sao-jose-de-ribamar-ma-100m2-id-2633378532/",-2.55002,-44.06755
NA,NA,103,NA,2,NA,NA,NA,2571143643,NA,NA,NA,NA,NA,3,NA,NA,2,260000,NA,"São José de Ribamar - MA","casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-sao-jose-de-ribamar-ma-103m2-id-2571143643/",-2.55002,-44.06755
1,NA,48,0,1,135,0,0,2640640709,100,1,1,0,1,2,0,0,2,65000,0,"Estrada de Ribamar, 1 - Centro, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-sao-jose-de-ribamar-ma-48m2-id-2640640709/",-2.552330001515,-44.182630015622
NA,NA,40,NA,1,1,NA,NA,2645016915,1,NA,NA,NA,NA,2,NA,NA,1,172915,NA,"Forquilha, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-forquilha-sao-jose-de-ribamar-ma-40m2-id-2645016915/",-2.55002,-44.06755
NA,NA,900,NA,NA,NA,NA,NA,2601092291,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,"Rua das Hortências, 0 - Araçagy, São José de Ribamar - MA","terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-aracagy-sao-jose-de-ribamar-ma-900m2-id-2601092291/",-2.480496528152,-44.190496313576
0,NA,103,0,1,NA,0,0,2646090791,400,0,0,0,0,3,0,0,4,380000,1,"Araçagy, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-jardim-aracagy-sao-jose-de-ribamar-ma-103m2-id-2646090791/",-2.47975864141,-44.211260753471
0,NA,126,1,2,1,0,1,2581189945,100,0,0,0,0,3,0,0,2,350000,0,"Novo Cohatrac, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-novo-cohatrac-sao-jose-de-ribamar-ma-126m2-id-2581189945/",-2.54014,-44.2055
0,NA,62,0,2,NA,1,1,2604559186,NA,1,0,0,1,2,0,0,NA,240000,0,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-jose-de-ribamar-ma-62m2-id-2604559186/",-2.55002,-44.06755
NA,NA,70,NA,2,NA,NA,NA,2647026974,NA,NA,NA,NA,NA,2,NA,NA,2,190000,NA,"Loteamento Jardim Turu, São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-americana-loteamento-jardim-turu-sao-jose-de-ribamar-ma-70m2-id-2647026974/",-2.5034,-44.23486
0,NA,57,1,2,250,0,0,2643363732,NA,1,1,1,1,2,0,0,1,175000,1,"São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-sao-jose-de-ribamar-ma-57m2-id-2643363732/",-2.55002,-44.06755
0,NA,62,0,2,NA,1,0,2646455669,NA,1,1,0,0,2,0,0,1,270000,0,"Araçagy, São José de Ribamar - MA","apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-62m2-id-2646455669/",-2.47975864141,-44.211260753471
0,1,105,0,2,NA,0,0,2638404155,NA,1,0,0,0,2,0,0,4,479999,0,"São José de Ribamar - MA","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-piscina-sao-jose-de-ribamar-ma-105m2-id-2638404155/",-2.55002,-44.06755
