"academia","andar","area","area_servico","banheiro","condominio","elevador","endereco","espaco_gourmet","id","iptu","piscina","playground","portaria_24_horas","quadra_de_esporte","quarto","salao_de_festa","sauna","spa","tipo","url","vaga","valor","varanda_gourmet","latitude","longitude"
NA,NA,"130.0",NA,"1.0",NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610009331",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-dom-helder-camara-garanhuns-pe-130m2-id-2610009331/","2.0","95000.0",NA,-8.86532,-36.50062
NA,NA,"176.0",NA,"1.0",NA,NA,"Boa Vista, Garanhuns - PE",NA,"2611294093",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-boa-vista-garanhuns-pe-176m2-id-2611294093/","4.0","220000.0",NA,-8.91037,-36.4909
NA,NA,"266.0",NA,NA,NA,NA,"Garanhuns - PE",NA,"2610008100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-garanhuns-pe-266m2-id-2610008100/",NA,"25000.0",NA,-8.89072,-36.49655
NA,NA,"141.0",NA,"2.0",NA,NA,"Francisco Simao dos Santos Figueira, Garanhuns - PE",NA,"2610009334",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas","https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-francisco-simao-dos-santos-figueira-garanhuns-pe-141m2-id-2610009334/",NA,"310000.0",NA,-8.90736,-36.47857
NA,NA,"172.0",NA,"1.0","330.0",NA,"Heliopolis, Garanhuns - PE",NA,"2608593928",NA,NA,NA,NA,NA,"3.0",NA,NA,NA,"casas_de_condominio","https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-heliopolis-garanhuns-pe-172m2-id-2608593928/","4.0","550000.0",NA,-8.88638,-36.47507
NA,NA,"220.0",NA,NA,NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2610009324",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-dom-helder-camara-garanhuns-pe-220m2-id-2610009324/",NA,"18000.0",NA,-8.86532,-36.50062
NA,"3.0","98.0",NA,"3.0","150.0",NA,"Centro, Garanhuns - PE",NA,"2611056479",NA,NA,NA,NA,NA,"4.0",NA,NA,NA,"apartamentos","https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-centro-garanhuns-pe-98m2-id-2611056479/","1.0","270000.0",NA,-8.88855,-36.49328
"0",NA,"51.0","0","1.0",NA,"0","Dom Helder Camara, Garanhuns - PE","0","2610009323",NA,"0","0","0","1.0","2.0","0","0","0","casas","https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-dom-helder-camara-garanhuns-pe-51m2-id-2610009323/","1.0","120000.0","0",-8.86532,-36.50062
NA,NA,"220.0",NA,NA,NA,NA,"Rua Michel Zaidan, 00 - Francisco Simao dos Santos Figueira, Garanhuns - PE",NA,"2610011104",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-francisco-simao-dos-santos-figueira-garanhuns-pe-220m2-id-2610011104/",NA,"50000.0",NA,-8.909270017831,-36.473375031014
NA,NA,"450.0",NA,NA,NA,NA,"Dom Helder Camara, Garanhuns - PE",NA,"2641715876",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrenos_lotes_e_condominios","https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-dom-helder-camara-garanhuns-pe-450m2-id-2641715876/",NA,"70000.0",NA,-8.86532,-36.50062
