academia,area,area_servico,banheiro,condominio,elevador,espaco_gourmet,iptu,piscina,playground,portaria_24_horas,quadra_de_esporte,quarto,salao_de_festa,sauna,spa,tipo,vaga,valor,varanda_gourmet,latitude,longitude,area_aluguel,valor_aluguel,qnt_beneficio
0.0,59.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,146990.0,0.0,-7.1684014,-34.8431826,53.0,1200.0,3201.0
0.0,30.0,0.0,1.0,,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,513418.0,0.0,-7.1194153,-34.8290715,49.0,3000.0,24.0
1.0,100.0,1.0,3.0,,1.0,1.0,,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,2.0,1800000.0,0.0,-7.1353414,-34.8196967,56.0,3500.0,
0.0,76.0,0.0,1.0,150.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,338000.0,0.0,-7.0725547,-34.8453149,60.0,2400.0,65.0
0.0,65.0,1.0,2.0,550.0,1.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,779900.0,1.0,-7.1208998,-34.8239444,56.0,3500.0,
0.0,83.0,0.0,2.0,150.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,190000.0,0.0,-7.1551066,-34.8364492,63.0,1700.0,22.0
0.0,86.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,,350000.0,0.0,-7.111679668267,-34.827243021981,49.0,3000.0,24.0
0.0,78.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,350000.0,0.0,-7.1333507,-34.8585963,58.5,2775.0,109.0
0.0,117.0,0.0,3.0,,0.0,0.0,,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,apartamentos,2.0,810000.0,1.0,-7.1150428,-34.8567486,95.0,2850.0,15.0
0.0,50.0,0.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,135000.0,0.0,-7.16713985,-34.87342666322093,,,184.0
1.0,130.0,0.0,5.0,850.0,1.0,0.0,,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,3.0,950000.0,0.0,-7.1245666,-34.8238785,56.0,3500.0,
0.0,51.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,239000.0,0.0,-7.153008016683,-34.826766968929,63.0,1700.0,22.0
0.0,71.0,0.0,1.0,,1.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,,499000.0,0.0,-7.0812307,-34.8346477,62.0,3500.0,
0.0,114.0,1.0,3.0,770.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,495000.0,0.0,-7.122065490025,-34.831730948932,67.0,2550.0,92.0
0.0,390.0,1.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,casas,,750000.0,0.0,-7.12326,-34.85332,60.0,2450.0,
0.0,84.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,1.0,230000.0,0.0,-7.1148299,-34.8392392,80.0,2700.0,
0.0,96.0,0.0,2.0,620.0,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,2.0,480000.0,1.0,-7.1049787,-34.8344596,60.0,2800.0,
1.0,55.0,0.0,2.0,,1.0,1.0,,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,apartamentos,,399000.0,0.0,-7.0877719,-34.8359098,62.0,3500.0,
1.0,450.0,0.0,,800.0,0.0,1.0,300.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,terrenos_lotes_e_condominios,,715000.0,0.0,-7.152855712252,-34.82055932229,76.0,2200.0,75.0
0.0,335.0,0.0,1.0,,1.0,1.0,,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,apartamentos,5.0,3100777.0,0.0,-7.132203,-34.8308996,98.0,5850.0,227.0
0.0,84.0,0.0,1.0,,0.0,1.0,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,255000.0,0.0,-7.1545481,-34.8318931,63.0,1700.0,22.0
0.0,112.0,1.0,1.0,,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,2.0,650000.0,1.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,57.0,1.0,1.0,450.0,1.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,470000.0,0.0,-7.1049787,-34.8344596,60.0,2800.0,
0.0,279.0,0.0,5.0,1650.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,apartamentos,2.0,929000.0,0.0,-7.1056049,-34.8330926,60.0,2800.0,
0.0,57.0,0.0,2.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,apartamentos,1.0,159370.0,0.0,-7.1674554,-34.8503823,,,44.0
0.0,420.0,0.0,4.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,casas,5.0,1000000.0,0.0,-7.1483721,-34.8385343,61.0,1500.0,120.0
0.0,33.0,0.0,1.0,400.0,1.0,0.0,200.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,apartamentos,1.0,270000.0,0.0,-7.072266,-34.8386799,60.0,2400.0,65.0
0.0,510.0,0.0,7.0,2481.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,apartamentos,6.0,4521308.0,0.0,-7.1336871,-34.8279943,98.0,5850.0,227.0
1.0,71.0,0.0,2.0,350.0,1.0,1.0,600.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,apartamentos,2.0,400000.0,0.0,-7.1483721,-34.8385343,61.0,1500.0,120.0
0.0,100.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,casas,2.0,349000.0,0.0,-7.100693299449,-34.85987432981,59.0,1250.0,82.0
0.0,112.0,0.0,2.0,250.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,400000.0,0.0,-7.0673665,-34.843179,60.0,2400.0,65.0
0.0,67.0,1.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,apartamentos,1.0,180000.0,0.0,-7.165592898404,-34.856663549345,,,184.0
0.0,156.0,1.0,3.0,611.0,1.0,0.0,,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,apartamentos,2.0,550000.0,0.0,-7.0812307,-34.8346477,62.0,3500.0,
